地域階層,地域コード,地域,令和7年1月1日現在／世帯数(世帯),令和7年1月1日現在／人口／総数(人),令和7年1月1日現在／人口／男(人),令和7年1月1日現在／人口／女(人),人口密度1km2につき（令和7年）(人/km2),令和6年1月1日現在／世帯数(世帯),令和6年1月1日現在／人口／総数(人),令和6年1月1日現在／人口／男(人),令和6年1月1日現在／人口／女(人),差引増減人口（人口総数）(人),増減率 (人口総数)(%)
0,13000,総数,7682155,14002534,6875972,7126562,6365,7563383,13911902,6830918,7080984,90632,0.65
1,13100,区部,5527395,9730552,4772459,4958093,15507,5428860,9643024,4728534,4914490,87528,0.91
4,13101,千代田区,39410,68835,34502,34333,5904,39207,68755,34412,34343,80,0.12
4,13102,中央区,106555,187404,89617,97787,18355,100917,176835,84212,92623,10569,5.98
4,13103,港区,153885,267780,126062,141718,13152,152545,266306,125353,140953,1474,0.55
4,13104,新宿区,231609,352717,177370,175347,19359,227339,349226,175428,173798,3491,1
4,13105,文京区,130932,235345,112019,123326,20845,128475,232177,110561,121616,3168,1.36
4,13106,台東区,137054,216084,109947,106137,21373,133471,212388,108097,104291,3696,1.74
4,13107,墨田区,170273,287302,141451,145851,20864,167020,284555,140148,144407,2747,0.97
4,13108,江東区,294261,541685,265630,276055,12600,289908,539108,264566,274542,2577,0.48
4,13109,品川区,238169,412786,202245,210541,18065,233659,408280,199866,208414,4506,1.1
4,13110,目黒区,161512,281400,132760,148640,19182,159667,279520,131816,147704,1880,0.67
4,13111,大田区,418230,740519,368378,372141,11971,410030,733634,364637,368997,6885,0.94
4,13112,世田谷区,502617,923210,436905,486305,15904,496436,918141,434591,483550,5069,0.55
4,13113,渋谷区,143626,231402,111018,120384,15314,142443,230609,110568,120041,793,0.34
4,13114,中野区,217716,341322,172721,168601,21894,213350,337377,170371,167006,3945,1.17
4,13115,杉並区,334466,577147,277810,299337,16945,329488,572843,275440,297403,4304,0.75
4,13116,豊島区　,188094,294644,147717,146927,22648,184969,291650,146383,145267,2994,1.03
4,13117,北区,211567,362089,179986,182103,17569,207041,357701,177688,180013,4388,1.23
4,13118,荒川区,125357,222278,110539,111739,21878,122010,219268,108991,110277,3010,1.37
4,13119,板橋区,334750,578914,283229,295685,17968,327308,572927,280059,292868,5987,1.04
4,13120,練馬区,395526,745927,360504,385423,15514,389715,741540,358739,382801,4387,0.59
4,13121,足立区,379192,698276,349165,349111,13113,371942,693223,346947,346276,5053,0.73
4,13122,葛飾区,252845,469916,233991,235925,13503,248433,467000,232534,234466,2916,0.62
4,13123,江戸川区,359749,693570,348893,344677,13899,353487,689961,347127,342834,3609,0.52
1,13200,市部,2114052,4194221,2064005,2130216,5350,2093733,4190134,2062443,2127691,4087,0.1
4,13201,八王子市,284931,559083,279079,280004,3000,282252,560692,280146,280546,-1609,-0.29
4,13202,立川市,97736,186257,92181,94076,7646,96728,185825,91979,93846,432,0.23
4,13203,武蔵野市,79250,148034,70910,77124,13482,78667,147809,70765,77044,225,0.15
4,13204,三鷹市,97663,190497,92634,97863,11602,96752,189959,92506,97453,538,0.28
4,13205,青梅市,66053,129105,65013,64092,1250,65181,129468,65036,64432,-363,-0.28
4,13206,府中市,131330,260998,130361,130637,8868,129835,260078,130030,130048,920,0.35
4,13207,昭島市,58040,115632,57486,58146,6669,56875,114516,56910,57606,1116,0.97
4,13208,調布市,124600,239348,116306,123042,11091,123497,238774,116031,122743,574,0.24
4,13209,町田市,208738,430170,209990,220180,6012,206953,430380,210105,220275,-210,-0.05
4,13210,小金井市,63469,125174,61595,63579,11077,62848,124614,61291,63323,560,0.45
4,13211,小平市,97150,196799,96317,100482,9595,96344,196913,96365,100548,-114,-0.06
4,13212,日野市,94540,188477,94173,94304,6841,93257,187494,93731,93763,983,0.52
4,13213,東村山市,76101,151795,73872,77923,8856,76295,151751,73834,77917,44,0.03
4,13214,国分寺市,64650,129500,63439,66061,11300,63950,128762,63157,65605,738,0.57
4,13215,国立市,39828,76079,36854,39225,9335,39293,75889,36793,39096,190,0.25
4,13218,福生市,31353,56582,28555,28027,5569,31022,56512,28369,28143,70,0.12
4,13219,狛江市,43237,82048,39625,42423,12840,43062,82102,39623,42479,-54,-0.07
4,13220,東大和市,41125,84996,41647,43349,6334,40783,85085,41786,43299,-89,-0.1
4,13221,清瀬市,37538,75011,36070,38941,7332,36899,74596,35904,38692,415,0.56
4,13222,東久留米市,56959,116325,56338,59987,9031,56510,116512,56487,60025,-187,-0.16
4,13223,武蔵村山市,33142,70696,35172,35524,4615,32890,71018,35225,35793,-322,-0.45
4,13224,多摩市,76009,148084,72420,75664,7048,75076,147776,72350,75426,308,0.21
4,13225,稲城市,43266,93916,46914,47002,5226,42844,93781,46910,46871,135,0.14
4,13227,羽村市,26790,54126,27339,26787,5467,26643,54416,27558,26858,-290,-0.53
4,13228,あきる野市,37542,79244,39496,39748,1079,37210,79513,39584,39929,-269,-0.34
4,13229,西東京市,103012,206245,100219,106026,13095,102067,205899,99968,105931,346,0.17
1,13550,町村部,40708,77761,39508,38253,99,40790,78744,39941,38803,-983,-1.25
2,13300,郡部,26672,54489,27392,27097,145,26568,54951,27588,27363,-462,-0.84
4,13303,瑞穂町,15535,32013,16290,15723,1900,15371,32062,16278,15784,-49,-0.15
4,13305,日の出町,7553,16061,7920,8141,572,7579,16300,8036,8264,-239,-1.47
4,13307,檜原村,1105,1923,961,962,18,1118,1986,987,999,-63,-3.17
4,13308,奥多摩町,2479,4492,2221,2271,20,2500,4603,2287,2316,-111,-2.41
2,13350,島部,14036,23272,12116,11156,56,14222,23793,12353,11440,-521,-2.19
3,13360,大島支庁,6677,11265,5801,5464,80,6755,11524,5911,5613,-259,-2.25
4,13361,大島町,4252,6813,3556,3257,75,4318,6982,3635,3347,-169,-2.42
4,13362,利島村,178,300,161,139,74,188,314,170,144,-14,-4.46
4,13363,新島村,1336,2415,1186,1229,88,1330,2453,1195,1258,-38,-1.55
4,13364,神津島村,911,1737,898,839,93,919,1775,911,864,-38,-2.14
3,13380,三宅支庁,1627,2513,1391,1122,33,1634,2545,1404,1141,-32,-1.26
4,13381,三宅村,1457,2211,1228,983,40,1470,2254,1247,1007,-43,-1.91
4,13382,御蔵島村,170,302,163,139,15,164,291,157,134,11,3.78
3,13400,八丈支庁,4242,6998,3512,3486,84,4306,7124,3584,3540,-126,-1.77
4,13401,八丈町,4128,6838,3419,3419,95,4192,6968,3496,3472,-130,-1.87
4,13402,青ヶ島村,114,160,93,67,27,114,156,88,68,4,2.56
