apt_name,price,address,station_distance,area,floor_plan,balcony,year
ライオンズガーデン四谷津の守坂,1億5800万円,東京都新宿区四谷三栄町,東京メトロ丸ノ内線「四谷三丁目」徒歩6分,62.48m2（壁芯）,2LDK,6.62m2,2004年2月
トルナーレ日本橋浜町,2億4800万円,東京都中央区日本橋浜町３,東京メトロ半蔵門線「水天宮前」徒歩5分,78.62m2（壁芯）,3LDK,25.53m2,2005年8月
富久クロス　コンフォートタワー,3億6800万円,東京都新宿区富久町,東京メトロ丸ノ内線「新宿御苑前」徒歩7分,75.38m2（壁芯）,3LDK,12.21m2,2015年4月
パークコート千代田富士見ザ　タワー,3億6800万円,東京都千代田区富士見２,ＪＲ中央線「飯田橋」徒歩3分,64.47m2（壁芯）,2LDK,10.89m2,2014年3月
八丁堀東豊エステート,1180万円,東京都中央区新川２-11-1,東京メトロ日比谷線「八丁堀」徒歩2分,12.78m2（3.86坪）（壁芯）,ワンルーム,1.42m2,1974年12月
東武ハイライン高輪,1790万円,東京都港区高輪１-24-16,東京メトロ南北線「白金高輪」徒歩6分,26.77m2（8.09坪）（壁芯）,1DK,3.78m2,1982年11月
中井プラムレジデンス,1980万円,東京都新宿区上落合３-15-1,西武新宿線「中井」徒歩5分,35.27m2（10.66坪）（壁芯）,1LDK,4.38m2,1972年3月
弥生コーポ,2200万円,東京都文京区弥生２-１３－４,東京メトロ千代田線「根津」徒歩2分,46m2（13.91坪）（壁芯）,ワンルーム,5.4m2,1970年11月
テラス高田馬場,2400万円,東京都新宿区高田馬場４-30-23,ＪＲ山手線「高田馬場」徒歩7分,18.43m2（5.57坪）（登記）,ワンルーム,2.39m2,1990年3月
中落合マンション,2680万円,東京都新宿区中落合３,都営大江戸線「落合南長崎」徒歩4分,35.09m2（壁芯）,1LDK,11.33m2,1969年12月
若松町サマリヤマンション,2780万円,東京都新宿区若松町,都営大江戸線「若松河田」徒歩3分,33.1m2,2K,4.62m2,1981年4月
ライオンズマンション小石川,2980万円,東京都文京区水道１,東京メトロ有楽町線「江戸川橋」徒歩11分,42.24m2（登記）,1DK,11.51m2,1977年3月
四谷坂町永谷マンション,3098万円,東京都新宿区四谷坂町,ＪＲ総武線「市ケ谷」徒歩10分,30.6m2（壁芯）,1DK,4.3m2,1976年7月
マンション和光,3170万円,東京都新宿区百人町２-17-12,ＪＲ山手線「新大久保」徒歩4分,42.8m2（12.94坪）（壁芯）,1LDK,4.08m2,1971年9月
パイロットハウス北新宿,3180万円,東京都新宿区北新宿３-22-10,ＪＲ中央線「大久保」徒歩8分,34.84m2（10.53坪）,1LDK,-,1978年9月
【シャンボール文京】エルフォルク不動産,3180万円,東京都文京区千石２-19-4,都営三田線「千石」徒歩9分,40.25m2（12.17坪）（壁芯）,ワンルーム,10.4m2,1971年3月
日興パレス高田馬場,3180万円,東京都新宿区上落合１,西武新宿線「下落合」徒歩8分,47.02m2（壁芯）,2DK,1.87m2,1981年8月
中落合東豊エステート,3280万円,東京都新宿区中落合２,西武新宿線「中井」徒歩7分,45.2m2（壁芯）,1LDK,4.1m2,1971年8月
デュオヴェール飯田橋,3360万円,東京都文京区後楽２-23-6,ＪＲ総武線「飯田橋」徒歩9分,33.85m2（壁芯）,1LDK,-,2016年11月
GSハイム広尾,3380万円,東京都渋谷区広尾５,東京メトロ日比谷線「広尾」徒歩5分,29.7m2（壁芯）,1DK,4.95m2,1979年7月
月島マンション,3580万円,東京都中央区月島３-31-7,都営大江戸線「勝どき」徒歩2分,38.06m2（壁芯）,1LDK,2.25m2,1973年7月
朝日クレス・パリオ新宿,3590万円,東京都新宿区北新宿４-11-3,ＪＲ中央線「東中野」徒歩10分,40.82m2（壁芯）,1DK,2.24m2,1996年3月
市ヶ谷第2ローヤルコーポ,3650万円,東京都新宿区市谷砂土原町１,東京メトロ有楽町線「市ケ谷」徒歩3分,50.15m2（壁芯）,2DK,6.48m2,1977年4月
浜町グランドハイツ,3680万円,東京都中央区日本橋中洲1-5,東京メトロ半蔵門線「水天宮前」徒歩5分,36m2（10.88坪）,1K+S（納戸）,4.68m2,1976年8月
ストーク北新宿,3680万円,東京都新宿区北新宿４-４-１３,ＪＲ中央線「大久保」徒歩9分,45.92m2（13.89坪）（壁芯）,2DK,7.28m2,1988年12月
浜町グランドハイツ,3680万円,東京都中央区日本橋中洲,東京メトロ半蔵門線「水天宮前」徒歩5分,36m2（10.88坪）（壁芯）,1K+S（納戸）,4.68m2,1976年8月
中銀第二音羽マンシオン,3680万円,東京都文京区音羽１-25-12,東京メトロ有楽町線「江戸川橋」徒歩4分,33.89m2（壁芯）,1DK,6.13m2,1983年7月
藤和三田コープ,3680万円,東京都港区三田５,都営三田線「三田」徒歩9分,32.28m2（9.76坪）（壁芯）,1DK,3m2,1981年2月
シャンボール築地,3680万円,東京都中央区勝どき３,都営大江戸線「勝どき」徒歩2分,44.44m2（壁芯）,1LDK,4.4m2,1971年11月
エスコートノヴェル南麻布,3699万円,東京都港区南麻布１-7-40,東京メトロ南北線「麻布十番」徒歩3分,25.48m2（壁芯）,ワンルーム,2.7m2,2003年5月
市ヶ谷ローヤルコーポ,3880万円,東京都新宿区南町15,都営大江戸線「牛込神楽坂」徒歩6分,48.73m2（壁芯）,2LDK,-,1976年4月
ライオンズマンション本駒込・壇,3896万円,東京都文京区本駒込３-5-6,東京メトロ南北線「本駒込」徒歩2分,48.21m2,1LDK,-,1981年3月
アルス音羽,3980万円,東京都文京区音羽１-15-12,東京メトロ有楽町線「護国寺」徒歩4分,36.99m2（11.18坪）（壁芯）,ワンルーム,1.92m2,1985年9月
シャンボール新宿御苑前,3980万円,東京都新宿区新宿１-25-1,東京メトロ丸ノ内線「新宿御苑前」徒歩6分,33.65m2（壁芯）,1LDK,2.96m2,1978年7月
後楽園ビューハイツ,3989万円,東京都文京区小石川２,東京メトロ丸ノ内線「後楽園」徒歩2分,35.09m2（10.61坪）（壁芯）,1DK,4.5m2,1978年5月
ニューローレルマンション　,3990万円,東京都新宿区新宿１,東京メトロ丸ノ内線「新宿御苑前」徒歩5分,41.6m2（壁芯）,1LDK,6m2,1970年11月
セントラル三田,3990万円,東京都港区三田２,都営大江戸線「麻布十番」徒歩10分,33.33m2（壁芯）,1DK,3.6m2,1978年1月
パティオ西早稲田,3998万円,東京都新宿区西早稲田２,東京メトロ東西線「早稲田」徒歩9分,32.42m2（9.80坪）（壁芯）,1LDK,4.56m2,1994年3月
パレ・ドール日本橋,3999万円,東京都中央区日本橋堀留町１-6-3,東京メトロ日比谷線「人形町」徒歩4分,39.4m2（11.91坪）（壁芯）,1LDK,5.3m2,1980年6月
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１,都営浅草線「人形町」徒歩4分,39.4m2（壁芯）,1LDK,5.3m2,1980年6月
秀和西麻布レジデンス,4180万円,東京都港区西麻布４,東京メトロ日比谷線「広尾」徒歩10分,30.06m2（登記）,1DK,-,1970年5月
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,都営新宿線「浜町」徒歩4分,42.74m2（12.92坪）（壁芯）,1LDK,3.66m2,1980年4月
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１-3-7,都営新宿線「浜町」徒歩4分,42.74m2（12.92坪）,1LDK,3.66m2,1980年4月
インペリアル音羽フラット,4250万円,東京都文京区音羽１-13-9,東京メトロ有楽町線「護国寺」徒歩5分,45.28m2（13.69坪）（壁芯）,2DK,4.05m2,1983年11月
メゾンドール高田馬場,4350万円,東京都新宿区高田馬場２-5-24,ＪＲ山手線「高田馬場」徒歩9分,62.64m2（壁芯）,1LDK+S（納戸）,3.24m2,1973年10月
グランドメゾン田町,4390万円,東京都港区芝浦２,ＪＲ山手線「田町」徒歩10分,40.02m2（壁芯）,1LDK,4.39m2,1983年1月
【パラスト幡ヶ谷】,4399万円,東京都渋谷区幡ヶ谷２,京王線「笹塚」徒歩6分,50.05m2（壁芯）,2LDK,4.51m2,1971年11月
日興パレス文京,4480万円,東京都文京区本駒込４,東京メトロ千代田線「千駄木」徒歩12分,58.05m2（壁芯）,2LDK,2.16m2,1979年2月
レッツ飯田橋,4480万円,東京都新宿区新小川町4-18,ＪＲ総武線「飯田橋」徒歩7分,40.04m2（12.11坪）（登記）,2DK,-,1980年11月
プレジール三番町,4480万円,東京都千代田区三番町,東京メトロ半蔵門線「半蔵門」徒歩8分,25.47m2（壁芯）,ワンルーム,-,1999年12月
キョウエイハイツ田町,4490万円,東京都港区芝浦２,ＪＲ山手線「田町」徒歩10分,44.2m2（壁芯）,2DK,6.39m2,1980年9月
