apt_name,total Price,prefecture,city,town,line,station,way,walking time,area [m2],room,L,D,K,S,balcony [m2],date_month,age,population,price/m2,count,popularity
ライオンズガーデン四谷津の守坂,158000000,東京,新宿,四谷三栄町,東京メトロ丸ノ内線,四谷三丁目,徒歩,6,62.48,2,1,1,1,0,6.62,2,21,352717.0,2528809.218950064,1294,0.36686635461290495
トルナーレ日本橋浜町,248000000,東京,中央,日本橋浜町３,東京メトロ半蔵門線,水天宮前,徒歩,5,78.62,3,1,1,1,0,25.53,8,20,187404.0,3154413.635207326,1127,0.6013745704467355
富久クロス　コンフォートタワー,368000000,東京,新宿,富久町,東京メトロ丸ノ内線,新宿御苑前,徒歩,7,75.38,3,1,1,1,0,12.21,4,10,352717.0,4881931.546829398,1294,0.36686635461290495
パークコート千代田富士見ザ　タワー,368000000,東京,千代田,富士見２,ＪＲ中央線,飯田橋,徒歩,3,64.47,2,1,1,1,0,10.89,3,11,68835.0,5708081.278113851,323,0.46923803297740974
八丁堀東豊エステート,11800000,東京,中央,新川２-11-1,東京メトロ日比谷線,八丁堀,徒歩,2,12.78,1,0,0,0,0,1.42,12,51,187404.0,923317.6838810642,1127,0.6013745704467355
東武ハイライン高輪,17900000,東京,港,高輪１-24-16,東京メトロ南北線,白金高輪,徒歩,6,26.77,1,0,1,1,0,3.78,11,43,267780.0,668658.9465819948,1955,0.7300769288221675
中井プラムレジデンス,19800000,東京,新宿,上落合３-15-1,西武新宿線,中井,徒歩,5,35.27,1,1,1,1,0,4.38,3,53,352717.0,561383.6121349589,1294,0.36686635461290495
弥生コーポ,22000000,東京,文京,弥生２-１３－４,東京メトロ千代田線,根津,徒歩,2,46.0,1,0,0,0,0,5.4,11,55,235345.0,478260.8695652174,644,0.27364082517155663
テラス高田馬場,24000000,東京,新宿,高田馬場４-30-23,ＪＲ山手線,高田馬場,徒歩,7,18.43,1,0,0,0,0,2.39,3,35,352717.0,1302224.6337493218,1294,0.36686635461290495
中落合マンション,26800000,東京,新宿,中落合３,都営大江戸線,落合南長崎,徒歩,4,35.09,1,1,1,1,0,11.33,12,56,352717.0,763750.3562268452,1294,0.36686635461290495
若松町サマリヤマンション,27800000,東京,新宿,若松町,都営大江戸線,若松河田,徒歩,3,33.1,2,0,0,1,0,4.62,4,44,352717.0,839879.1540785498,1294,0.36686635461290495
ライオンズマンション小石川,29800000,東京,文京,水道１,東京メトロ有楽町線,江戸川橋,徒歩,11,42.24,1,0,1,1,0,11.51,3,48,235345.0,705492.4242424242,644,0.27364082517155663
四谷坂町永谷マンション,30980000,東京,新宿,四谷坂町,ＪＲ総武線,市ケ谷,徒歩,10,30.6,1,0,1,1,0,4.3,7,49,352717.0,1012418.3006535948,1294,0.36686635461290495
マンション和光,31700000,東京,新宿,百人町２-17-12,ＪＲ山手線,新大久保,徒歩,4,42.8,1,1,1,1,0,4.08,9,54,352717.0,740654.2056074766,1294,0.36686635461290495
パイロットハウス北新宿,31800000,東京,新宿,北新宿３-22-10,ＪＲ中央線,大久保,徒歩,8,34.84,1,1,1,1,0,8.894773996952768,9,47,352717.0,912743.9724454649,1294,0.36686635461290495
【シャンボール文京】エルフォルク不動産,31800000,東京,文京,千石２-19-4,都営三田線,千石,徒歩,9,40.25,1,0,0,0,0,10.4,3,54,235345.0,790062.1118012422,644,0.27364082517155663
日興パレス高田馬場,31800000,東京,新宿,上落合１,西武新宿線,下落合,徒歩,8,47.02,2,0,1,1,0,1.87,8,44,352717.0,676307.9540621012,1294,0.36686635461290495
中落合東豊エステート,32800000,東京,新宿,中落合２,西武新宿線,中井,徒歩,7,45.2,1,1,1,1,0,4.1,8,54,352717.0,725663.7168141593,1294,0.36686635461290495
デュオヴェール飯田橋,33600000,東京,文京,後楽２-23-6,ＪＲ総武線,飯田橋,徒歩,9,33.85,1,1,1,1,0,8.894773996952768,11,9,235345.0,992614.4756277695,644,0.27364082517155663
GSハイム広尾,33800000,東京,渋谷,広尾５,東京メトロ日比谷線,広尾,徒歩,5,29.7,1,0,1,1,0,4.95,7,46,231402.0,1138047.138047138,1208,0.5220352460220741
月島マンション,35800000,東京,中央,月島３-31-7,都営大江戸線,勝どき,徒歩,2,38.06,1,1,1,1,0,2.25,7,52,187404.0,940620.0735680504,1127,0.6013745704467355
朝日クレス・パリオ新宿,35900000,東京,新宿,北新宿４-11-3,ＪＲ中央線,東中野,徒歩,10,40.82,1,0,1,1,0,2.24,3,29,352717.0,879470.8476237139,1294,0.36686635461290495
市ヶ谷第2ローヤルコーポ,36500000,東京,新宿,市谷砂土原町１,東京メトロ有楽町線,市ケ谷,徒歩,3,50.15,2,0,1,1,0,6.48,4,48,352717.0,727816.5503489531,1294,0.36686635461290495
浜町グランドハイツ,36800000,東京,中央,日本橋中洲1-5,東京メトロ半蔵門線,水天宮前,徒歩,5,36.0,1,0,0,1,1,4.68,8,49,187404.0,1022222.2222222222,1127,0.6013745704467355
ストーク北新宿,36800000,東京,新宿,北新宿４-４-１３,ＪＲ中央線,大久保,徒歩,9,45.92,2,0,1,1,0,7.28,12,37,352717.0,801393.7282229965,1294,0.36686635461290495
浜町グランドハイツ,36800000,東京,中央,日本橋中洲,東京メトロ半蔵門線,水天宮前,徒歩,5,36.0,1,0,0,1,1,4.68,8,49,187404.0,1022222.2222222222,1127,0.6013745704467355
中銀第二音羽マンシオン,36800000,東京,文京,音羽１-25-12,東京メトロ有楽町線,江戸川橋,徒歩,4,33.89,1,0,1,1,0,6.13,7,42,235345.0,1085866.037179109,644,0.27364082517155663
藤和三田コープ,36800000,東京,港,三田５,都営三田線,三田,徒歩,9,32.28,1,0,1,1,0,3.0,2,44,267780.0,1140024.7831474596,1955,0.7300769288221675
シャンボール築地,36800000,東京,中央,勝どき３,都営大江戸線,勝どき,徒歩,2,44.44,1,1,1,1,0,4.4,11,54,187404.0,828082.8082808282,1127,0.6013745704467355
