apt_name,total Price,prefecture,city,town,line,station,way,walking time,area [m2],room,L,D,K,S,balcony [m2],date_year,date_month,age
ライオンズガーデン四谷津の守坂,158000000,東京,新宿,四谷三栄町,東京メトロ丸ノ内線,四谷三丁目,徒歩,6,62.48,2,1,1,1,0,6.62,2004,2,21
トルナーレ日本橋浜町,248000000,東京,中央,日本橋浜町３,東京メトロ半蔵門線,水天宮前,徒歩,5,78.62,3,1,1,1,0,25.53,2005,8,20
富久クロス　コンフォートタワー,368000000,東京,新宿,富久町,東京メトロ丸ノ内線,新宿御苑前,徒歩,7,75.38,3,1,1,1,0,12.21,2015,4,10
パークコート千代田富士見ザ　タワー,368000000,東京,千代田,富士見２,ＪＲ中央線,飯田橋,徒歩,3,64.47,2,1,1,1,0,10.89,2014,3,11
八丁堀東豊エステート,11800000,東京,中央,新川２-11-1,東京メトロ日比谷線,八丁堀,徒歩,2,12.78,1,0,0,0,0,1.42,1974,12,51
東武ハイライン高輪,17900000,東京,港,高輪１-24-16,東京メトロ南北線,白金高輪,徒歩,6,26.77,1,0,1,1,0,3.78,1982,11,43
中井プラムレジデンス,19800000,東京,新宿,上落合３-15-1,西武新宿線,中井,徒歩,5,35.27,1,1,1,1,0,4.38,1972,3,53
弥生コーポ,22000000,東京,文京,弥生２-１３－４,東京メトロ千代田線,根津,徒歩,2,46.0,1,0,0,0,0,5.4,1970,11,55
テラス高田馬場,24000000,東京,新宿,高田馬場４-30-23,ＪＲ山手線,高田馬場,徒歩,7,18.43,1,0,0,0,0,2.39,1990,3,35
中落合マンション,26800000,東京,新宿,中落合３,都営大江戸線,落合南長崎,徒歩,4,35.09,1,1,1,1,0,11.33,1969,12,56
若松町サマリヤマンション,27800000,東京,新宿,若松町,都営大江戸線,若松河田,徒歩,3,33.1,2,0,0,1,0,4.62,1981,4,44
